aircraftRegistration	flightNumber	airlineCode_iata	airlineCode_icao	jointFlightNumber	origin_iata	origin_icao	via_iata	via_icao	destination_iata	destination_icao	aircraft_iata	aircraft_icao	flightStatusCode	scheduledDateTime	aircraftParkingPosition	baggageClaimUnit	airlineName	originName	viaName	aircraftTerminal
A6EWC	EK 082	EK	UAE	QF 8082	LYS	LFLL	None	None	DXB	OMDB	77L	B77L	EST	2024-10-11T00:00:00	A09	11	Emirates	Lyon	None	3
A6EPC	EK 140	EK	UAE	"QF 8140	GF 5411"	PRG	LKPR	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:55:00	B27	12	Emirates	Prague	None	3
A6EGU	EK 060	EK	UAE	QF 8060	HAM	EDDH	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:55:00	B24	4	Emirates	Hamburg	None	3
A6EPF	EK 515	EK	UAE	None	DEL	VIDP	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:55:00	A04	10	Emirates	New Delhi	None	3
A6EUY	EK 056	EK	UAE	QF 8056	DUS	EDDL	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:55:00	D08	7	Emirates	Dusseldorf	None	3
A6EOB	EK 148	EK	UAE	QF 8148	AMS	EHAM	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:55:00	B12	3	Emirates	Amsterdam	None	3
A6EQI	EK 184	EK	UAE	QF 8184	BRU	EBBR	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:55:00	G01	10	Emirates	Brussels	None	3
A6EDW	EK 762	EK	UAE	SA 7160	JNB	FAOR	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:45:00	B09	2	Emirates	Johannesburg	None	3
A6EDQ	EK 050	EK	UAE	QF 8050	MUC	EDDM	None	None	DXB	OMDB	388	A388	DLU	2024-10-10T23:45:00	B10	14	Emirates	Munich	None	3
A6EPR	EK 152	EK	UAE	QF 8152	CPH	EKCH	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:45:00	D10	13	Emirates	Copenhagen	None	3
A6EQH	EK 090	EK	UAE	QF 8090	GVA	LSGG	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:45:00	A10	1	Emirates	Geneva	None	3
A6EUG	EK 088	EK	UAE	QF 8088	ZRH	LSZH	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:45:00	B11	9	Emirates	Zurich	None	3
A6EDS	EK 046	EK	UAE	QF 8046	FRA	EDDF	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:35:00	F13	8	Emirates	Frankfurt	None	3
A6ECJ	EK 210	EK	UAE	"QF 8210	A3 3414"	EWR	KEWR	ATH	LGAV	DXB	OMDB	77W	B77W	EST	2024-10-10T23:35:00	B20	11	Emirates	Newark	Athens	3
A6FKC	FZ 058	FZ	FDB	"EK 2047	UA 6517"	KWI	OKKK	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T23:35:00	E13	1	Flydubai	Kuwait	None	2
A6EGA	EK 567	EK	UAE	None	BLR	VOBL	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:30:00	F17	4	Emirates	Bangalore	None	3
None	BI 097	BI	RBA	TK 8301	BWN	WBSB	None	None	DXB	OMDB	788	B788	EST	2024-10-10T23:30:00	C52	7	Royal Brunei Airlines	Brunei	None	1
9HHFJ	KQ 310	KQ	KQA	MU 4930	NBO	HKJK	None	None	DXB	OMDB	332	A332	EST	2024-10-10T23:25:00	C50	1	Kenya Airways	Nairobi	None	1
A6EPN	EK 160	EK	UAE	QF 8160	OSL	ENGM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:25:00	G08	12	Emirates	Oslo	None	3
A6EPI	EK 112	EK	UAE	"QF 8112	GF 5403"	BUD	LHBP	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:20:00	B26L	7	Emirates	Budapest	None	3
A6EOW	EK 818	EK	UAE	"MK 9953	UA 6581"	RUH	OERK	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:20:00	A09	3	Emirates	Riyadh	None	3
A6EOU	EK 098	EK	UAE	QF 8098	FCO	LIRF	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:20:00	None	10	Emirates	Rome	None	3
A6ENJ	EK 136	EK	UAE	QF 8136	VCE	LIPZ	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:20:00	B17	14	Emirates	Venice	None	3
A6EPH	EK 379	EK	UAE	"AC 7607	TG 4505"	HKT	VTSP	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:10:00	F27	6	Emirates	Phuket	None	3
A6EES	EK 702	EK	UAE	"AC 7597	MK 910"	MRU	FIMP	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:10:00	D02	12	Emirates	Mauritius	None	3
A6FEY	FZ 006	FZ	FDB	None	DOH	OTHH	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T23:10:00	E16	6	Flydubai	Doha	None	2
GZBLC	BA 107	BA	BAW	None	LHR	EGLL	None	None	DXB	OMDB	781	B78X	EST	2024-10-10T23:10:00	C54	2	British Airways	London Heathrow	None	1
A6EDM	EK 134	EK	UAE	None	DME	UUDD	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:10:00	F09	13	Emirates	Moscow	None	3
A6ECI	EK 383	EK	UAE	None	HKG	VHHH	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:10:00	A01	8	Emirates	Hong Kong	None	3
A6EEZ	EK 128	EK	UAE	QF 8128	VIE	LOWW	None	None	DXB	OMDB	388	A388	EST	2024-10-10T23:05:00	F10	1	Emirates	Vienna	None	3
A6FEP	FZ 990	FZ	FDB	EK 2311	VKO	UUWW	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T23:00:00	E22	2	Flydubai	Moscow	None	2
A6ECG	EK 333	EK	UAE	FZ 6333	MNL	RPLL	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T23:00:00	F21	7	Emirates	Manila	None	3
PHBQN	KL 427	KL	KLM	None	AMS	EHAM	None	None	DXB	OMDB	772	B772	EST	2024-10-10T23:00:00	C60	8	KLM	Amsterdam	None	1
A6EGH	EK 214	EK	UAE	None	BOG	SKBO	MIA	KMIA	DXB	OMDB	77W	B77W	EST	2024-10-10T23:00:00	B02	4	Emirates	Bogota	Miami	3
A6EPK	EK 180	EK	UAE	"QF 8180	GF 5419"	WAW	EPWA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:55:00	G18	9	Emirates	Warsaw	None	3
None	SG 051	SG	SEJ	None	PNQ	VAPO	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T22:55:00	C53L	4	SpiceJet	Pune	None	1
None	J9 119	J9	JZR	None	KWI	OKKK	None	None	DXB	OMDB	320	A320	EST	2024-10-10T22:55:00	C51L	6	Jazeera Airways	Kuwait	None	1
A6EUS	EK 262	EK	UAE	GF 5407	GRU	SBGR	None	None	DXB	OMDB	388	A388	DLU	2024-10-10T22:55:00	F19	5	Emirates	Sao Paulo	None	3
A6FPB	FZ 1450	FZ	FDB	EK 2350	SZG	LOWS	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T22:55:00	C31	11	Flydubai	Salzburg	None	3
A6EBR	EK 730	EK	UAE	None	EBB	HUEN	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:50:00	F24	3	Emirates	Entebbe	None	3
None	AI 995	AI	AIC	None	DEL	VIDP	None	None	DXB	OMDB	359	A359	EST	2024-10-10T22:45:00	C63	3	Air India	New Delhi	None	1
A6FKQ	FZ 814	FZ	FDB	None	AHB	OEAB	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T22:45:00	E05	3	Flydubai	Abha	None	2
None	IX 343	IX	AXB	AI 9214	CCJ	VOCL	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T22:40:00	E07L	4	Air India Express	Kozhikode	None	2
A6EGL	EK 720	EK	UAE	QF 8720	NBO	HKJK	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:40:00	G11	2	Emirates	Nairobi	None	3
A6ENT	EK 357	EK	UAE	"BT 5810	FZ 6357	GA 8851"	CGK	WIII	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:40:00	B27	6	Emirates	Jakarta	None	3
None	AF 662	AF	AFR	None	CDG	LFPG	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:35:00	C57	5	Air France	Paris	None	1
None	GF 512	GF	GFA	KL 3157	BAH	OBBI	None	None	DXB	OMDB	320	A320	EST	2024-10-10T22:35:00	C55L	6	Gulf Air	Bahrain	None	1
None	LH 630	LH	DLH	"AC 9088	UA 8904"	FRA	EDDF	None	None	DXB	OMDB	333	A333	EST	2024-10-10T22:35:00	C64	1	Lufthansa	Frankfurt	None	1
None	QB 2210	QB	QSM	None	IKA	OIIE	None	None	DXB	OMDB	320	A320	EST	2024-10-10T22:35:00	E11R	5	Qeshm Air	Tehran	None	2
None	FG 401	FG	AFG	None	KBL	OAKB	None	None	DXB	OMDB	734	B734	EST	2024-10-10T22:35:00	E23	2	Ariana Afghan Airlines	Kabul	None	2
A6EPG	EK 587	EK	UAE	"AC 7566	FZ 6587"	DAC	VGHS	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:30:00	D10	5	Emirates	Dhaka	None	3
None	AI 951	AI	AIC	None	HYD	VOHS	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T22:25:00	C62	8	Air India	Hyderabad	None	1
A6FEB	FZ 576	FZ	FDB	EK 2156	KTM	VNKT	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T22:25:00	E04	1	Flydubai	Kathmandu	None	2
A6FEK	FZ 882	FZ	FDB	None	TUU	OETB	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T22:20:00	E06	3	Flydubai	Tabuk	None	2
A6EPX	EK 347	EK	UAE	None	KUL	WMKK	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:20:00	B23	8	Emirates	Kuala Lumpur	None	3
B1468	CA 941	CA	CCA	None	PEK	ZBAA	None	None	DXB	OMDB	789	B789	EST	2024-10-10T22:20:00	C59	7	Air China	Beijing	None	1
A6FMX	FZ 1794	FZ	FDB	EK 2013	ZAG	LDZA	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T22:15:00	C28	11	Flydubai	Zagreb	None	3
A6EOK	EK 206	EK	UAE	"QF 8206	GA 8888"	JFK	KJFK	MXP	LIMC	DXB	OMDB	388	A388	EST	2024-10-10T22:10:00	F18	12	Emirates	New York	Milan	3
A6ECZ	EK 922	EK	UAE	MK 9925	CAI	HECA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T22:00:00	B04	14	Emirates	Cairo	None	3
B7878	CA 451	CA	CCA	None	CKG	ZUCK	None	None	DXB	OMDB	789	B789	EST	2024-10-10T22:00:00	C56	4	Air China	Chongqing	None	1
A6FKR	FZ 868	FZ	FDB	"AC 7550	EK 2283	UA 6529"	DMM	OEDF	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T22:00:00	E25	6	Flydubai	Dammam	None	2
VTANS	AI 983	AI	AIC	None	BOM	VABB	None	None	DXB	OMDB	788	B788	EST	2024-10-10T21:55:00	C61	7	Air India	Mumbai	None	1
A6FME	FZ 1574	FZ	FDB	EK 2141	BGY	LIME	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T21:55:00	C35	10	Flydubai	Milan Bergamo	None	3
HZNS77	XY 209	XY	KNE	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:55:00	C19	6	Flynas	Riyadh	None	1
A6FKO	FZ 048	FZ	FDB	"AC 7543	EK 2037	UA 6515"	MCT	OOMS	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T21:55:00	E13	2	Flydubai	Muscat	None	2
A6EEP	EK 124	EK	UAE	QF 8124	IST	LTFM	None	None	DXB	OMDB	388	A388	EST	2024-10-10T21:50:00	D03	1	Emirates	Istanbul	None	3
A6ECA	EK 726	EK	UAE	"AC 7594	UA 6601"	DAR	HTDA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T21:50:00	G07	3	Emirates	Dar Es Salaam	None	3
HZFBE	F3 513	F3	FAD	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:45:00	C20	2	Flyadeal	Riyadh	None	1
A6FNA	FZ 830	FZ	FDB	"AC 7552	EK 2069	UA 6519"	JED	OEJN	None	None	DXB	OMDB	7M9	B39M	EST	2024-10-10T21:45:00	E12R	1	Flydubai	Jeddah	None	2
VTIIV	6E 1467	6E	IGO	None	IXE	VOML	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:45:00	C55R	1	IndiGo	Mangalore	None	1
A6ECO	EK 146	EK	UAE	QF 8146	AMS	EHAM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T21:45:00	B03	9	Emirates	Amsterdam	None	3
A6FEE	FZ 064	FZ	FDB	EK 2051	KWI	OKKK	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T21:45:00	E08	4	Flydubai	Kuwait	None	2
None	UL 225	UL	ALK	None	CMB	VCBI	None	None	DXB	OMDB	333	A333	EST	2024-10-10T21:40:00	C58	3	SriLankan Airlines	Colombo	None	1
BKQE	CX 731	CX	CPA	None	HKG	VHHH	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T21:35:00	C52	1	Cathay Pacific	Hong Kong	None	1
A6FMC	FZ 1798	FZ	FDB	EK 2245	OTP	LROP	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T21:35:00	C34	7	Flydubai	Bucharest	None	3
A6FMB	FZ 1746	FZ	FDB	EK 2221	BEG	LYBE	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T21:35:00	C33	13	Flydubai	Belgrade	None	3
HZAS74	SV 594	SV	SVA	"MU 8991	CZ 7898"	JED	OEJN	None	None	DXB	OMDB	32A	A320	EST	2024-10-10T21:30:00	C51R	7	Saudia	Jeddah	None	1
VTEXV	AI 905	AI	AIC	None	MAA	VOMM	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:30:00	C53R	4	Air India	Chennai	None	1
XU729	SG 005	SG	SEJ	None	DEL	VIDP	None	None	DXB	OMDB	320	A320	EST	2024-10-10T21:30:00	C46	5	SpiceJet	New Delhi	None	1
A7BHR	QR 1014	QR	QTR	None	DOH	OTHH	None	None	DXB	OMDB	789	B789	EST	2024-10-10T21:25:00	C45	8	Qatar Airways	Doha	None	1
A6EPM	EK 661	EK	UAE	None	MLE	VRMM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T21:25:00	F19	11	Emirates	Male	None	3
None	WY 611	WY	OMA	"MH 5238	OV 8075"	MCT	OOMS	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T21:25:00	C48	2	Oman Air	Muscat	None	1
VTIZQ	6E 1475	6E	IGO	None	COK	VOCI	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:20:00	C54L	6	IndiGo	Kochi	None	1
VTAXR	IX 541	IX	AXB	AI 9232	TRV	VOTV	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T21:20:00	E07R	6	Air India Express	Thiruvananthapuram	None	2
A6ENF	EK 810	EK	UAE	UA 6583	MED	OEMA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T21:15:00	B06	6	Emirates	Medina	None	3
A6FGE	FZ 898	FZ	FDB	"AC 7540	EK 2301	UA 6513"	MED	OEMA	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T21:15:00	E05	3	Flydubai	Medina	None	2
A6FKL	FZ 906	FZ	FDB	EK 2411	ULH	OEAO	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T21:15:00	E29	5	Flydubai	Al-Ula	None	2
HBJHM	LX 242	LX	SWR	UA 9732	ZRH	LSZH	None	None	DXB	OMDB	333	A333	EST	2024-10-10T21:05:00	C49	3	Swiss	Zurich	None	1
A6FGJ	FZ 824	FZ	FDB	None	YNB	OEYN	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T21:05:00	E09L	1	Flydubai	Yanbu	None	2
VTIKN	6E 1455	6E	IGO	None	BOM	VABB	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T21:05:00	C54R	4	IndiGo	Mumbai	None	1
A6EOG	EK 904	EK	UAE	"QF 8904	UA 6599"	AMM	OJAI	None	None	DXB	OMDB	388	A388	DLU	2024-10-10T21:05:00	F20	2	Emirates	Amman	None	3
HZAQ27	SV 552	SV	SVA	"KL 8303	MU 8993	CZ 7895"	RUH	OERK	None	None	DXB	OMDB	333	A333	EST	2024-10-10T21:00:00	C50	8	Saudia	Riyadh	None	1
A6EWG	EK 503	EK	UAE	None	BOM	VABB	None	None	DXB	OMDB	77L	B77L	EST	2024-10-10T21:00:00	D10	8	Emirates	Mumbai	None	3
B2727	CZ 3041	CZ	CSN	None	WUH	ZHHH	None	None	DXB	OMDB	788	B788	EST	2024-10-10T20:55:00	C43	4	China Southern Airlines	Wuhan	None	1
A6FMF	FZ 1682	FZ	FDB	EK 2392	NAP	LIRN	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:55:00	C30	7	Flydubai	Naples	None	3
None	XY 509	XY	KNE	None	JED	OEJN	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T20:55:00	C55L	7	Flynas	Jeddah	None	1
None	KU 675	KU	KAC	None	KWI	OKKK	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T20:55:00	C59	None	Kuwait Airways	Kuwait	None	1
A7BAG	QR 1018	QR	QTR	None	DOH	OTHH	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T20:55:00	C44	2	Qatar Airways	Doha	None	1
A6FEM	FZ 034	FZ	FDB	"EK 2027	UA 6509"	SLL	OOSA	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T20:50:00	Q02	4	Flydubai	Salalah	None	2
A6FKA	FZ 028	FZ	FDB	EK 2021	BAH	OBBI	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:45:00	E12L	2	Flydubai	Bahrain	None	2
A6FMN	FZ 708	FZ	FDB	EK 2197	GYD	UBBB	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T20:45:00	C35	3	Flydubai	Baku	None	2
RPC3905	5J 014	5J	CEB	None	MNL	RPLL	None	None	DXB	OMDB	339	A339	EST	2024-10-10T20:40:00	C64	5	Cebu Pacific	Manila	None	1
None	ME 428	ME	MEA	None	BEY	OLBA	None	None	DXB	OMDB	332	A332	EST	2024-10-10T20:40:00	C63	1	Middle East Airlines	Beirut	None	1
9HWAI	W4 3267	W4	WMT	None	OTP	LROP	None	None	DXB	OMDB	32Q	A21N	DLU	2024-10-10T20:40:00	E01	None	Wizz Air Malta	Bucharest	None	2
None	RJ 614	RJ	RJA	None	AMM	OJAI	None	None	DXB	OMDB	788	B788	EST	2024-10-10T20:35:00	C62	6	Royal Jordanian	Amman	None	1
A6FMD	FZ 1634	FZ	FDB	None	MSQ	UMMS	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T20:35:00	C33	5	Flydubai	MINSK-2	None	3
A6FPE	FZ 010	FZ	FDB	None	DOH	OTHH	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:35:00	C32	6	Flydubai	Doha	None	2
A6FMP	FZ 1788	FZ	FDB	EK 2434	KRK	EPKK	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T20:30:00	C40	4	Flydubai	Krakow	None	3
A6FKI	FZ 550	FZ	FDB	EK 2148	CMB	VCBI	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:30:00	E10R	5	Flydubai	Colombo	None	2
HZFAL	F3 511	F3	FAD	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T20:25:00	C53L	2	Flyadeal	Riyadh	None	1
A6EWH	EK 858	EK	UAE	UA 6573	KWI	OKKK	None	None	DXB	OMDB	77L	B77L	EST	2024-10-10T20:25:00	A07	5	Emirates	Kuwait	None	3
None	W5 065	W5	IRM	None	IKA	OIIE	None	None	DXB	OMDB	343	A343	CXX	2024-10-10T20:25:00	C61	None	Mahan Air	Tehran	None	1
A6EPZ	EK 826	EK	UAE	QF 8826	DMM	OEDF	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T20:25:00	F21	12	Emirates	Dammam	None	3
A6FKN	FZ 1946	FZ	FDB	EK 2457	TAS	UTTT	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:20:00	C29	14	Flydubai	Tashkent	None	3
A6FPC	FZ 1082	FZ	FDB	None	TLV	LLBG	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T20:15:00	F09	13	Flydubai	Tel Aviv	None	3
None	GF 510	GF	GFA	CX 1950	BAH	OBBI	None	None	DXB	OMDB	32Q	A21N	EST	2024-10-10T20:15:00	C61	7	Gulf Air	Bahrain	None	1
YAKMY	RQ 901	RQ	KMF	None	KBL	OAKB	None	None	DXB	OMDB	343	A343	EST	2024-10-10T20:10:00	C47	8	Kam Air	Kabul	None	1
A6EUP	EK 022	EK	UAE	"QF 8022	GA 8844"	MAN	EGCC	None	None	DXB	OMDB	388	A388	DLU	2024-10-10T20:00:00	D01	10	Emirates	Manchester	None	3
A6EEO	EK 072	EK	UAE	"QF 8072	GA 8858"	CDG	LFPG	None	None	DXB	OMDB	388	A388	EST	2024-10-10T20:00:00	D06	4	Emirates	Paris	None	3
